Borough,White,Asian,Black,Mixed/Other,Total
Barking and Dagenham,99000,55000,51000,16000,222000
Barnet,255000,79000,28000,35000,398000
Bexley,188000,20000,28000,18000,254000
Brent,117000,138000,40000,37000,332000
Bromley,264000,25000,23000,25000,338000
Camden,155000,34000,29000,45000,263000
Croydon,224000,78000,61000,30000,392000
Ealing,163000,91000,29000,61000,344000
Enfield,218000,44000,58000,24000,343000
Greenwich,158000,61000,55000,19000,292000
Hackney,167000,19000,49000,53000,289000
Hammersmith and Fulham,122000,14000,15000,29000,180000
Haringey,208000,13000,36000,23000,280000
Harrow,101000,103000,8000,35000,248000
Havering,196000,30000,28000,10000,264000
Hillingdon,154000,96000,37000,26000,313000
Hounslow,125000,102000,36000,12000,275000
Islington,177000,14000,18000,34000,243000
Kensington and Chelsea,109000,15000,14000,15000,153000
Kingston upon Thames,135000,26000,7000,14000,181000
Lambeth,215000,22000,55000,38000,329000
Lewisham,194000,24000,61000,34000,312000
Merton,140000,33000,21000,14000,208000
Newham,165000,120000,56000,20000,361000
Redbridge,132000,139000,26000,16000,313000
Richmond upon Thames,163000,14000,2000,18000,200000
Southwark,183000,26000,79000,33000,321000
Sutton,136000,34000,16000,21000,207000
Tower Hamlets,161000,123000,16000,26000,326000
Waltham Forest,188000,32000,34000,29000,282000
Wandsworth,249000,26000,25000,25000,325000
Westminster,159000,18000,19000,44000,240000
