borough,One person household,Married couple household,Civil partnership couple household,Cohabiting couple household,Lone parent household,Multi-person household,,,,,,,,,,,,
Camden,39531,24030,577,11249,11354,10793,,,,,,,,,,,,
Hackney,35635,22695,430,12586,17790,12554,,,,,,,,,,,,
Hammersmith and Fulham,30148,20297,299,9132,10308,10406,,,,,,,,,,,,
Haringey,32524,29722,428,12217,18041,9023,,,,,,,,,,,,
Islington,36240,19243,618,12479,14140,10836,,,,,,,,,,,,
Kensington and Chelsea,36524,20949,395,7095,7510,6063,,,,,,,,,,,,
Lambeth,44691,28292,796,16988,22286,16964,,,,,,,,,,,,
Lewisham,39680,32374,451,13395,21578,8613,,,,,,,,,,,,
Newham,26536,37984,198,8048,18771,9982,,,,,,,,,,,,
Southwark,40307,28742,745,16229,20607,13792,,,,,,,,,,,,
Tower Hamlets,35047,27481,473,11500,12448,14308,,,,,,,,,,,,
Wandsworth,42106,38109,608,18184,14235,17251,,,,,,,,,,,,
Westminster,47893,26280,581,9606,10891,10521,,,,,,,,,,,,
Barking and Dagenham,19215,25995,67,6515,15207,2682,,,,,,,,,,,,
Barnet,37957,60414,225,10994,18284,8042,,,,,,,,,,,,
Bexley,25789,42136,80,9491,13083,2025,,,,,,,,,,,,
Brent,30616,43906,173,8599,18661,8331,,,,,,,,,,,,
Bromley,40815,57901,231,12913,15883,3119,,,,,,,,,,,,
Croydon,43043,55896,285,13495,26434,5857,,,,,,,,,,,,
Ealing,35329,51107,321,10905,17921,8499,,,,,,,,,,,,
Enfield,33359,49386,156,9635,22643,4737,,,,,,,,,,,,
Greenwich,32370,34359,255,11341,17261,5459,,,,,,,,,,,,
Harrow,19008,45897,84,4975,10904,3400,,,,,,,,,,,,
Havering,28215,45062,67,9433,12532,1890,,,,,,,,,,,,
Hillingdon,25290,46687,133,9197,14620,4287,,,,,,,,,,,,
Hounslow,25985,40439,237,8925,13821,5495,,,,,,,,,,,,
Kingston upon Thames,18198,28121,142,6832,6323,4023,,,,,,,,,,,,
Merton,22294,33143,213,8704,9491,4912,,,,,,,,,,,,
Redbridge,25228,48416,173,7056,14149,4083,,,,,,,,,,,,
Richmond upon Thames,26008,33951,281,9107,6952,3536,,,,,,,,,,,,
Sutton,23749,34624,92,8276,9434,1999,,,,,,,,,,,,
Waltham Forest,28756,35410,258,10463,15817,6157,,,,,,,,,,,,
