borough,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Any Other Religion,No Religion,Total
Barking and Dagenham,115800,0,6600,0,54400,3200,0,33300,214900
Barnet,152500,7500,15400,74500,46000,0,17200,75600,388600
Bexley,148000,0,4400,0,11700,0,5500,79200,248800
Brent,111100,0,51600,0,97600,0,18500,49200,328100
Bromley,175400,0,5500,0,11100,0,11400,128000,331500
Camden,85100,0,5300,13400,41200,0,13500,92900,251400
Croydon,189200,0,21300,0,33800,0,10900,128900,384100
Ealing,147900,0,30600,0,44000,22900,13800,82700,341900
Enfield,185200,0,13600,0,49400,0,13100,74100,335400
Greenwich,140300,0,7000,0,18100,9900,12200,95100,282600
Hackney,88400,5400,8900,28400,36700,0,5400,107700,280900
Hammersmith and Fulham,94700,4100,0,0,19300,0,7200,53500,178900
Haringey,122000,0,0,8700,33100,0,10100,102000,275900
Harrow,91000,0,67800,6500,30200,4100,13800,32500,245900
Havering,148100,0,3900,0,5600,0,8300,92000,257800
Hillingdon,125700,0,41800,3300,38500,22500,4100,68700,304600
Hounslow,103900,6400,39000,0,40700,16500,0,57800,269700
Islington,90200,0,0,0,18300,0,11700,114700,234900
Kensington and Chelsea,75300,2600,2600,7200,15800,0,9200,41200,153900
Kingston upon Thames,74000,2300,10700,0,19400,0,3800,66300,176500
Lambeth,143500,0,7200,0,34300,0,14100,124500,323600
Lewisham,145500,0,7600,0,21000,0,12900,117400,304400
Merton,107000,0,11100,0,12600,0,7300,69000,206900
Newham,135200,0,16400,0,148400,6400,7300,39000,352600
Redbridge,120600,0,32300,14600,85000,13000,0,38700,306900
Richmond upon Thames,99200,0,0,4000,7000,0,14200,69200,193600
Southwark,159300,0,0,0,18300,0,7700,130000,315300
Sutton,99100,0,16700,0,14700,0,4300,68300,203000
Tower Hamlets,86200,0,8700,0,123700,0,10900,84600,314000
Waltham Forest,109100,0,0,4100,62300,0,13000,87200,275700
Wandsworth,171300,0,0,0,20300,0,14600,113500,319700
Westminster,92800,0,5700,7500,43200,0,7900,83300,240400
