Area,Mean,Median,Period Start Date,Period End Date,Property Type
Camden,1025.0,900.0,2019/04/01,2020/03/31,Room
Camden,1296.0,1200.0,2019/04/01,2020/03/31,Studio
Camden,1798.0,1733.0,2019/04/01,2020/03/31,One Bedroom
Camden,2346.0,2310.0,2019/04/01,2020/03/31,Two Bedrooms
Camden,3112.0,2900.0,2019/04/01,2020/03/31,Three Bedrooms
Camden,4332.0,3727.0,2019/04/01,2020/03/31,Four or more Bedrooms
Camden,2302.0,2050.0,2019/04/01,2020/03/31,All categories
Camden,776.0,775.0,2020/04/01,2021/03/31,Room
Camden,994.0,954.0,2020/04/01,2021/03/31,Studio
Camden,1499.0,1350.0,2020/04/01,2021/03/31,One Bedroom
Camden,2106.0,1950.0,2020/04/01,2021/03/31,Two Bedrooms
Camden,2725.0,2250.0,2020/04/01,2021/03/31,Three Bedrooms
Camden,4050.0,3098.0,2020/04/01,2021/03/31,Four or more Bedrooms
Camden,1861.0,1582.0,2020/04/01,2021/03/31,All categories
Camden,912.0,843.0,2021/04/01,2022/03/31,Room
Camden,1182.0,1100.0,2021/04/01,2022/03/31,Studio
Camden,1617.0,1550.0,2021/04/01,2022/03/31,One Bedroom
Camden,2184.0,2050.0,2021/04/01,2022/03/31,Two Bedrooms
Camden,2936.0,2755.0,2021/04/01,2022/03/31,Three Bedrooms
Camden,3516.0,3098.0,2021/04/01,2022/03/31,Four or more Bedrooms
Camden,2001.0,1750.0,2021/04/01,2022/03/31,All categories
Camden,829.0,843.0,2018/10/01,2019/09/30,Room
Camden,1285.0,1250.0,2018/10/01,2019/09/30,Studio
Camden,1694.0,1647.0,2018/10/01,2019/09/30,One Bedroom
Camden,2272.0,2145.0,2018/10/01,2019/09/30,Two Bedrooms
Camden,3233.0,2860.0,2018/10/01,2019/09/30,Three Bedrooms
Camden,5839.0,3950.0,2018/10/01,2019/09/30,Four or more Bedrooms
Camden,2536.0,2058.0,2018/10/01,2019/09/30,All categories
Camden,1156.0,975.0,2019/10/01,2020/09/30,Room
Camden,1072.0,1000.0,2019/10/01,2020/09/30,Studio
Camden,1619.0,1508.0,2019/10/01,2020/09/30,One Bedroom
Camden,2254.0,2150.0,2019/10/01,2020/09/30,Two Bedrooms
Camden,2880.0,2492.0,2019/10/01,2020/09/30,Three Bedrooms
Camden,3983.0,3400.0,2019/10/01,2020/09/30,Four or more Bedrooms
Camden,2012.0,1750.0,2019/10/01,2020/09/30,All categories
Camden,776.0,775.0,2020/10/01,2021/09/30,Room
Camden,1009.0,960.0,2020/10/01,2021/09/30,Studio
Camden,1587.0,1450.0,2020/10/01,2021/09/30,One Bedroom
Camden,2142.0,2000.0,2020/10/01,2021/09/30,Two Bedrooms
Camden,2915.0,2545.0,2020/10/01,2021/09/30,Three Bedrooms
Camden,3995.0,3152.0,2020/10/01,2021/09/30,Four or more Bedrooms
Camden,1936.0,1675.0,2020/10/01,2021/09/30,All categories
Hackney,607.0,600.0,2019/04/01,2020/03/31,Room
