borough,PERSONS,MALES,FEMALES,M:100F
Barking and Dagenham,201979,98966,103013,96.07
Barnet,379691,187184,192507,97.23
Bexley,242142,116761,125381,93.12
Brent,324012,164345,159667,102.93
Bromley,324857,156071,168786,92.47
Camden,241059,120489,120570,99.93
Croydon,379031,183933,195098,94.28
Ealing,343059,172237,170822,100.83
Enfield,328433,159801,168632,94.76
Greenwich,274803,137849,136954,100.65
Hackney,269009,133779,135230,98.93
Hammersmith and Fulham,179410,88065,91345,96.41
Haringey,272864,137113,135751,101.0
Harrow,247130,123087,124043,99.23
Havering,249085,119636,129449,92.42
Hillingdon,297735,149011,148724,100.19
Hounslow,268770,136145,132625,102.65
Islington,227692,113737,113955,99.81
Kensington and Chelsea,157711,78362,79349,98.76
Kingston upon Thames,173525,85458,88067,97.04
Lambeth,324431,162878,161553,100.82
Lewisham,297325,146397,150928,97.0
Merton,204565,100473,104092,96.52
Newham,332817,174106,158711,109.7
Redbridge,296793,147403,149390,98.67
Richmond upon Thames,194730,94616,100114,94.51
Southwark,308901,153524,155377,98.81
Sutton,200145,97498,102647,94.98
Tower Hamlets,295236,153449,141787,108.23
Waltham Forest,271170,135519,135651,99.9
Wandsworth,314544,151244,163300,92.62
Westminster,242299,125517,116782,107.48
