borough,life_sat,worth,hap,anx,anx_adjusted,wellbeing
Barking and Dagenham,7.52,7.88,7.67,2.82,7.18,7.56
Barnet,7.55,7.68,7.44,3.19,6.8100000000000005,7.37
Bexley,7.54,7.83,7.55,3.21,6.79,7.43
Brent,7.71,7.84,7.84,2.4,7.6,7.75
Bromley,7.57,7.65,7.47,2.88,7.12,7.45
Camden,7.48,7.63,7.38,3.3,6.7,7.3
Croydon,7.69,7.81,7.78,2.93,7.07,7.59
Ealing,7.53,7.97,7.61,3.4,6.6,7.43
Enfield,7.37,7.68,7.35,2.96,7.04,7.36
Greenwich,7.54,7.81,7.36,2.98,7.02,7.43
Hackney,7.5,7.68,7.38,3.04,6.96,7.38
Hammersmith and Fulham,7.72,7.83,7.6,3.45,6.55,7.42
Haringey,7.35,7.72,7.26,3.07,6.93,7.32
Harrow,7.65,7.72,7.61,2.34,7.66,7.66
Havering,7.68,7.91,7.4,3.03,6.970000000000001,7.49
Hillingdon,7.76,7.79,7.67,3.07,6.93,7.54
Hounslow,7.85,7.99,7.73,3.14,6.859999999999999,7.61
Islington,7.51,7.59,7.3,3.23,6.77,7.29
Kensington and Chelsea,7.23,7.46,7.38,3.69,6.3100000000000005,7.1
Kingston upon Thames,7.78,7.95,7.59,2.81,7.1899999999999995,7.63
Lambeth,7.22,7.6,7.26,3.67,6.33,7.1
Lewisham,7.49,7.81,7.55,3.37,6.63,7.37
Merton,7.84,8.03,7.57,3.13,6.87,7.58
Newham,7.54,7.73,7.54,3.16,6.84,7.41
Redbridge,7.54,7.75,7.45,3.05,6.95,7.42
Richmond upon Thames,7.7,7.76,7.48,3.34,6.66,7.4
Southwark,7.34,7.5,7.28,3.61,6.390000000000001,7.13
Sutton,7.88,8.04,7.79,2.64,7.359999999999999,7.77
Tower Hamlets,7.82,7.78,7.73,2.77,7.23,7.64
Waltham Forest,7.46,7.81,7.51,2.98,7.02,7.45
Wandsworth,7.65,7.71,7.5,3.15,6.85,7.43
Westminster,7.66,7.75,7.38,3.36,6.640000000000001,7.36
